y,x,val
0,0,0.5306758411804005
0,1,0.5427196846465024
0,2,0.5410195835142836
0,3,0.5183224470571549
0,4,0.5266310434736515
0,5,0.5396523153819651
0,6,0.534368750024526
0,7,0.5148435210197341
0,8,0.5143898760876549
0,9,0.5195825143794607
0,10,0.5168741586578601
0,11,0.49250314686568974
0,12,0.5172959307254128
0,13,0.5197546717644698
0,14,0.5126612636882457
0,15,0.5053445012588008
0,16,0.514470503635958
0,17,0.5231210832917211
0,18,0.519071154984969
0,19,0.49672453021619284
0,20,0.5052007466350216
0,21,0.5136192226040411
0,22,0.5086868176588155
0,23,0.49311103691482855
0,24,0.4886559881939963
0,25,0.4938269253258698
0,26,0.4895010272748583
0,27,0.4669731485163906
0,28,0.48682098560413656
0,29,0.4913988808076967
0,30,0.4894323808099401
0,31,0.4862371416481084
0,32,0.4917600085583516
0,33,0.5033267334998017
0,34,0.5013218497951516
0,35,0.4791077787662965
0,36,0.4888020996222413
0,37,0.49939253119635524
0,38,0.4926830687425679
0,39,0.4772780741479677
0,40,0.47606773188292334
0,41,0.48030999165452815
0,42,0.4747120043540504
0,43,0.45231021386148357
0,44,0.4771129631057245
0,45,0.48196325665435635
0,46,0.47769604706190993
0,47,0.4705401457426733
0,48,0.4805530924645961
0,49,0.49037284563970907
0,50,0.4843863387013259
0,51,0.46305520252758364
0,52,0.47549261852112956
0,53,0.4865986346664766
0,54,0.4824920692699315
0,55,0.46891229231607917
0,56,0.4667374374011117
0,57,0.47257598797340616
0,58,0.46665397177332896
0,59,0.44338728569528896
0,60,0.46622509125076955
0,61,0.4737045056709467
0,62,0.4743645152993131
0,63,0.4694158373087657
0,64,0.4769419215555066
0,65,0.4899767068238516
0,66,0.484375717371462
0,67,0.46322116564124766
0,68,0.47522783254059253
0,69,0.48721864424053635
0,70,0.4818901115073516
0,71,0.4665718270434062
0,72,0.46522381859060896
0,73,0.4691561654350585
0,74,0.46297273836331326
0,75,0.4404518313252986
0,76,0.46463110991356854
0,77,0.47260967520658814
0,78,0.47013113579360105
0,79,0.4647832290612825
0,80,0.47404137839152166
0,81,0.48470767384437713
0,82,0.4787274209000434
0,83,0.45922222765524456
0,84,0.4712002733834301
0,85,0.4829849811557066
0,86,0.4830413122861645
0,87,0.47115750461467293
0,88,0.46656206216151946
0,89,0.4715364945048782
0,90,0.4673371451533039
0,91,0.4462272436947171
0,92,0.4681414614565945
0,93,0.47419907884825446
0,94,0.4763267015142524
0,95,0.4735092800630626
0,96,0.48025749048826816
0,97,0.490623656596706
0,98,0.4866817076067434
0,99,0.4653412481185703
0,100,0.4759519056304442
0,101,0.48571129315553413
0,102,0.4846519296366856
0,103,0.4723546065484948
0,104,0.47085944827088333
0,105,0.47361997822745844
0,106,0.4683204227161882
0,107,0.4454069973047445
0,108,0.4693268420829595
0,109,0.47646376077276065
0,110,0.4758873617094932
0,111,0.4695728245664434
0,112,0.4769061231418111
0,113,0.4864843511516517
0,114,0.4818893583045164
0,115,0.46055765546457084
0,116,0.4731934179621807
0,117,0.4817676113618283
0,118,0.48125280031523476
0,119,0.47087191638962134
0,120,0.46830630053582917
0,121,0.4705978331563055
0,122,0.46826521848776165
0,123,0.4449736303828805
0,124,0.4678424711559951
0,125,0.4739172866128934
0,126,0.47835045588589953
0,127,0.47452380321512383
0,128,0.47964211134610607
0,129,0.49294298945226056
0,130,0.4897232590764838
0,131,0.4679857485424256
0,132,0.4784774300241744
1,0,0.5430758351365563
1,1,0.5482340619232136
1,2,0.5374851389422134
1,3,0.5284797140838946
1,4,0.5338268695262492
1,5,0.5440619457526971
1,6,0.5336200476591146
1,7,0.5217824616852518
1,8,0.5243564942309754
1,9,0.5284339528693761
1,10,0.5185659002579381
1,11,0.5127902368890916
1,12,0.5181245698407939
1,13,0.5190269602749917
1,14,0.5164633483424673
1,15,0.5032461022315405
1,16,0.524460352038704
1,17,0.5284100672835367
1,18,0.5187860250417902
1,19,0.5069363306176917
1,20,0.5063791341937424
1,21,0.5127663972245015
1,22,0.5080298389603426
1,23,0.49914339327357204
1,24,0.5002377939414481
1,25,0.5043670075778374
1,26,0.4947597255603267
1,27,0.48840814403454086
1,28,0.49238511384855665
1,29,0.49043282630670393
1,30,0.4915553791239276
1,31,0.48691567458487767
1,32,0.5058663136711843
1,33,0.5095848831981783
1,34,0.500598402623153
1,35,0.48984880778736495
1,36,0.48929982233935737
1,37,0.499235494168719
1,38,0.4942437899478536
1,39,0.4858269063508763
1,40,0.48559514851108204
1,41,0.48931518425860376
1,42,0.48032580047435564
1,43,0.4725292751043773
1,44,0.4800912759962721
1,45,0.4774287166621611
1,46,0.4794971045929025
1,47,0.47164009381354705
1,48,0.4908873562101131
1,49,0.4915264192474146
1,50,0.4849857696896805
1,51,0.47419217453893864
1,52,0.47643044142303387
1,53,0.48263033381801485
1,54,0.4822404647111974
1,55,0.47594372788546857
1,56,0.47864042153080316
1,57,0.4801425652194356
1,58,0.47238870731802013
1,59,0.46735641503841374
1,60,0.47416704427397904
1,61,0.4712476744691977
1,62,0.4735914811449188
1,63,0.4708003429379207
1,64,0.4913944923130999
1,65,0.49104208989850257
1,66,0.48499468209923546
1,67,0.4748367461044697
1,68,0.47846318816128974
1,69,0.4861317271720258
1,70,0.4836260866077233
1,71,0.4761989610647153
1,72,0.4759384439667924
1,73,0.4781852772749589
1,74,0.46995660542985557
1,75,0.4651158523976692
1,76,0.4717618427613497
1,77,0.46857103458891797
1,78,0.4710896401822592
1,79,0.4679949762351229
1,80,0.4869280715953271
1,81,0.48634090467063623
1,82,0.48017230466035765
1,83,0.4709738277013919
1,84,0.4763453740996609
1,85,0.4819531886640431
1,86,0.4824806003041911
1,87,0.4768366910659546
1,88,0.4783152899060624
1,89,0.48001281422859704
1,90,0.4718491224143599
1,91,0.4681208150912304
1,92,0.4766000599753217
1,93,0.47352698847187213
1,94,0.4760736859726947
1,95,0.4766278901641225
1,96,0.4956646914379843
1,97,0.4940220616649658
1,98,0.4866548254588488
1,99,0.47865972573611304
1,100,0.48266022945490644
1,101,0.4905215411387324
1,102,0.48594296699014355
1,103,0.4808862601495759
1,104,0.4810454774704376
1,105,0.4828920090519858
1,106,0.47336957455221473
1,107,0.4682202265626036
1,108,0.47661629175354636
1,109,0.4741848951964529
1,110,0.4749105123509692
1,111,0.47080506967106006
1,112,0.4882948962807684
1,113,0.4890659676723962
1,114,0.48389265260307407
1,115,0.4721315201360679
1,116,0.47677065423841414
1,117,0.48543538986468426
1,118,0.4829073360038796
1,119,0.47414058558788175
1,120,0.47771668983849597
1,121,0.47936857700085056
1,122,0.4731959054274627
1,123,0.4645282508141983
1,124,0.4745768890545717
1,125,0.4738749953614489
1,126,0.47497537820496316
1,127,0.4734050035357857
1,128,0.4947128933580151
1,129,0.4965123173663019
1,130,0.4915484511215399
1,131,0.48046244675522704
1,132,0.4764448602749121
2,0,0.5432683071187896
2,1,0.5462025030011883
2,2,0.547509599843653
2,3,0.5438825461615872
2,4,0.5415824554091604
2,5,0.5376769341364597
2,6,0.53567050869204
2,7,0.5353037247988918
2,8,0.5343204884891158
2,9,0.5273148545573868
2,10,0.5339906172176186
2,11,0.5286295283759608
2,12,0.5274839819317548
2,13,0.5228037408222479
2,14,0.5172153221587628
2,15,0.5174245734018854
2,16,0.5266774160653722
2,17,0.5289754501555697
2,18,0.5280289928942596
2,19,0.5222163288987319
2,20,0.5179342992483895
2,21,0.5149902037728376
2,22,0.5127174397854405
2,23,0.5130100102771501
2,24,0.5098937965848309
2,25,0.5014715187467977
2,26,0.5087556037869435
2,27,0.5056110701411525
2,28,0.5011177480334976
2,29,0.498617543591446
2,30,0.4952899588773174
2,31,0.49883205237811495
2,32,0.5057464072265044
2,33,0.5084321595240843
2,34,0.5099253487430078
2,35,0.5073422134096726
2,36,0.5013524809565455
2,37,0.5007183105187369
2,38,0.49850566423505616
2,39,0.4958802548444518
2,40,0.49654377534094335
2,41,0.48730716871418134
2,42,0.49364102707034613
2,43,0.49082544447172843
2,44,0.48755467568542077
2,45,0.48419677882744916
2,46,0.4814808362932594
2,47,0.48569486501503617
2,48,0.4926898625977055
2,49,0.49690381537242906
2,50,0.49617592956008133
2,51,0.49149382368476646
2,52,0.48947446248541904
2,53,0.487673796592865
2,54,0.48916802032496254
2,55,0.4910137146601577
2,56,0.4898572012347379
2,57,0.480831976056446
2,58,0.48808341314268977
2,59,0.48622387973329567
2,60,0.48258044500239894
2,61,0.481033536919969
2,62,0.4793726729892935
2,63,0.48470612311633937
2,64,0.4904766064046487
2,65,0.49465876791033686
2,66,0.4965284730833854
2,67,0.49449736348180695
2,68,0.4902495988598022
2,69,0.49032091871953215
2,70,0.48863971410444107
2,71,0.48866135966490043
2,72,0.4883923110988977
2,73,0.47860315115531277
2,74,0.48621041490270805
2,75,0.48263171933106136
2,76,0.4795386028350489
2,77,0.4782542306754993
2,78,0.4750222283056513
2,79,0.480788287260028
2,80,0.4882957638493731
2,81,0.4945011529513176
2,82,0.49350941011005417
2,83,0.4895042223581727
2,84,0.48830097943034007
2,85,0.4880917288560689
2,86,0.4892208691696636
2,87,0.4926517667885352
2,88,0.490293743458073
2,89,0.4821447871780433
2,90,0.4889909544832555
2,91,0.4875355714485453
2,92,0.48266206517160426
2,93,0.48356873644158715
2,94,0.48226368876458153
2,95,0.48851357804833084
2,96,0.4935669508568843
2,97,0.49845895261308315
2,98,0.4992530648377263
2,99,0.4969716567640716
2,100,0.4917197557889279
2,101,0.493529781310826
2,102,0.49215528745460485
2,103,0.49357009078827896
2,104,0.49237712678621515
2,105,0.48391032646944504
2,106,0.49113075857770994
2,107,0.48665022034326133
2,108,0.48059798986805896
2,109,0.4830813939904636
2,110,0.48058866207676987
2,111,0.4856129752365452
2,112,0.4892238633633543
2,113,0.4954867011495367
2,114,0.4965708450824814
2,115,0.49146280474491183
2,116,0.4871379266435149
2,117,0.48900545867354506
2,118,0.49009016133433836
2,119,0.4895880517005996
2,120,0.49036090109754044
2,121,0.48049791697005984
2,122,0.4886649700022032
2,123,0.4858913270147902
2,124,0.4786384878461124
2,125,0.48382671857709003
2,126,0.4836517935244743
2,127,0.49054620121210807
2,128,0.49724036801077515
2,129,0.5018583750211819
2,130,0.5044443951336489
2,131,0.50170160162532
2,132,0.49278738110280645
3,0,0.5481409432057499
3,1,0.5467633403127278
3,2,0.54346954674336
3,3,0.5426950975006231
3,4,0.5436267996420675
3,5,0.5353653940927754
3,6,0.541186803367826
3,7,0.5342914538812908
3,8,0.5368575253144815
3,9,0.5271769828201719
3,10,0.5255374702963137
3,11,0.5321095842378211
3,12,0.5278599429403921
3,13,0.516683576600023
3,14,0.5150437500997606
3,15,0.5118505456171764
3,16,0.5304430787209111
3,17,0.5285822816327341
3,18,0.5232075374547774
3,19,0.5192573687576699
3,20,0.5161747664064179
3,21,0.5102420670253304
3,22,0.5147685294179516
3,23,0.5092072377461925
3,24,0.5106593244813283
3,25,0.5006410704301933
3,26,0.5046147451801601
3,27,0.5063406118081876
3,28,0.5015848079751329
3,29,0.49215328818008086
3,30,0.49224091736741005
3,31,0.49105979556194684
3,32,0.5093821148299593
3,33,0.5071886405886095
3,34,0.5044496840748055
3,35,0.5027663521897859
3,36,0.5004118515589331
3,37,0.493767019566029
3,38,0.5010155299726107
3,39,0.4936114787400007
3,40,0.4994576751905481
3,41,0.4900476193933336
3,42,0.4874854843828456
3,43,0.49217246695117983
3,44,0.4903261636001168
3,45,0.4799012335483494
3,46,0.47868003429126366
3,47,0.4786272629796616
3,48,0.4975521628373115
3,49,0.49377961572495394
3,50,0.4912252976682353
3,51,0.4885046113238421
3,52,0.4877019170424552
3,53,0.4809024243646158
3,54,0.4885174798935194
3,55,0.48385466458406057
3,56,0.4908051283729251
3,57,0.481265778335329
3,58,0.4820586549539554
3,59,0.4838820414639087
3,60,0.4829846010130707
3,61,0.47376249091836287
3,62,0.47477374306337233
3,63,0.47527188375522583
3,64,0.4948173400282018
3,65,0.4920079720669515
3,66,0.4902728223303275
3,67,0.4891268536746575
3,68,0.48892956144164773
3,69,0.48191516918931804
3,70,0.4908013389949256
3,71,0.48322818866285544
3,72,0.490449605412305
3,73,0.4810705513727433
3,74,0.4783903710928332
3,75,0.4829652418499788
3,76,0.4819565315671593
3,77,0.4731917028493857
3,78,0.4716771946929395
3,79,0.473650699013646
3,80,0.4915652998735902
3,81,0.48837532688181345
3,82,0.4864874904346129
3,83,0.4854775998989388
3,84,0.4859194242683776
3,85,0.4789911755599888
3,86,0.49065436573704735
